customer_id,customer_name,city,state,region,signup_date
1,Brenda Alves,da Cruz de Goiás,RJ,Sudeste,2023-01-26
2,Cauã Rocha,Pastor,PR,Sul,2023-09-08
3,Ana Beatriz Alves,Cunha,RS,Sul,2023-05-23
4,Thiago Pereira,Novais,RJ,Sudeste,2024-11-23
5,Yago Leão,Machado,CE,Nordeste,2023-03-31
6,Lara Abreu,Sampaio,BA,Nordeste,2023-02-02
7,Manuela da Mota,Cunha,SP,Sudeste,2023-04-06
8,Sr. Caleb Garcia,Fogaça,RS,Sul,2023-08-27
9,Dr. Augusto Siqueira,Nascimento de Campos,CE,Nordeste,2024-09-08
10,Anna Liz Novaes,Pires da Praia,SP,Sudeste,2024-07-28
11,Evelyn Santos,Aparecida,RS,Sul,2024-10-27
12,Heloísa Vargas,Barros de Goiás,CE,Nordeste,2024-03-05
13,Mateus da Mota,Porto de Fonseca,RS,Sul,2024-04-04
14,Léo Fogaça,Rios,PR,Sul,2023-01-07
15,Brayan Pereira,Nascimento,MG,Sudeste,2024-12-15
16,Srta. Elisa Martins,da Mata da Prata,BA,Nordeste,2023-12-15
17,Luan Vargas,da Conceição,PR,Sul,2023-06-09
18,Levi Guerra,Azevedo do Oeste,RS,Sul,2023-12-11
19,Luara Cunha,Gonçalves de Ramos,RJ,Sudeste,2023-04-05
20,Cecília da Luz,da Cruz,BA,Nordeste,2023-04-10
21,Dra. Zoe da Luz,Pacheco das Flores,SC,Sul,2023-12-19
22,Sr. Davi Miguel Moraes,Borges de Sá,PR,Sul,2023-02-14
23,Daniel Cassiano,Vieira,PE,Nordeste,2024-07-03
24,Mariana Peixoto,Gomes,RJ,Sudeste,2024-01-23
25,Nina Moura,Novaes do Sul,RJ,Sudeste,2024-07-19
26,Bruna Rodrigues,Vargas Alegre,PR,Sul,2024-10-05
27,Juan Lopes,Marques,SC,Sul,2024-08-14
28,João Montenegro,Montenegro,RS,Sul,2024-12-22
29,Kaique Porto,Cassiano,RJ,Sudeste,2023-02-16
30,Sr. Vitor Hugo Vasconcelos,Peixoto,RS,Sul,2023-10-24
31,Dr. Antony Camargo,das Neves de Goiás,RJ,Sudeste,2023-08-27
32,Isaque Nunes,Barros,RJ,Sudeste,2024-01-25
33,Sra. Ana Lívia Teixeira,Cardoso,PR,Sul,2024-04-09
34,Olívia Novaes,da Luz,SC,Sul,2023-06-16
35,Mariana Cunha,Silva,SC,Sul,2023-12-30
36,Murilo Rios,Macedo do Galho,RS,Sul,2024-11-17
37,Bárbara da Cruz,Azevedo,PR,Sul,2024-12-19
38,Sr. Yuri da Conceição,Abreu,RJ,Sudeste,2024-09-15
39,Bento da Conceição,Andrade,MG,Sudeste,2024-06-30
